lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch
0.02,2026-06-07 13:41:26.945782,,,,,
,2026-06-07 13:41:31.450560,0.006761583965271711,2.683154889382422e-05,0.006761583965271711,49.0,0.0
0.02,2026-06-07 13:44:23.640433,,,,,
,2026-06-07 13:44:26.697702,0.003587700193747878,1.4883327821735293e-05,0.003587700193747878,99.0,0.0
0.02,2026-06-07 13:47:03.312822,,,,,
,2026-06-07 13:47:06.750820,0.016005462035536766,0.000312343385303393,0.016005462035536766,149.0,0.0
0.02,2026-06-07 13:49:53.603079,,,,,
,2026-06-07 13:49:56.906200,0.008120154961943626,2.783765012281947e-05,0.008120154961943626,199.0,0.0
0.02,2026-06-07 13:52:35.028165,,,,,
,2026-06-07 13:52:38.145937,0.011139163747429848,4.4908112613484263e-05,0.011139163747429848,249.0,0.0
0.02,2026-06-07 13:55:18.776734,,,,,
,2026-06-07 13:55:21.986880,0.0088869109749794,3.874969115713611e-05,0.0088869109749794,299.0,0.0
0.02,2026-06-07 13:57:59.882405,,,,,
,2026-06-07 13:58:02.923317,0.004726724699139595,1.8944876501336694e-05,0.004726724699139595,349.0,0.0
0.02,2026-06-07 14:00:48.773708,,,,,
,2026-06-07 14:00:52.049037,0.016723498702049255,0.00012193180009489879,0.016723498702049255,399.0,0.0
0.02,2026-06-07 14:03:33.597258,,,,,
,2026-06-07 14:03:37.035042,0.004871848970651627,2.0844043319812045e-05,0.004871848970651627,449.0,0.0
0.02,2026-06-07 14:06:38.029827,,,,,
,2026-06-07 14:06:41.249372,0.004418069496750832,1.7835864127846435e-05,0.004418069496750832,499.0,0.0
